,Reference,CatN1,CatN2,Date,Cat_Price,CPC_medio,Impressions,Clics,Cost,Conversions,All_Conversions,Ads_Income,Ads_Income_All,ROAS_Ads
4001,51148,muebles,"consolas, recibidores y tocadores",2018-11-21,200,0.3,1793,10,2.97,0.0,0.0,0.0,0.0,0.0
4002,51148,muebles,"consolas, recibidores y tocadores",2019-01-19,200,0.21,833,4,0.84,0.0,0.0,0.0,0.0,0.0
4003,51148,muebles,"consolas, recibidores y tocadores",2018-05-21,200,0.24,1085,11,2.65,1.0,2.0,198.0,198.0,74.72
4004,51148,muebles,"consolas, recibidores y tocadores",2018-02-24,200,0.14,382,9,1.27,0.0,1.0,0.0,0.0,0.0
4005,51148,muebles,"consolas, recibidores y tocadores",2018-02-06,200,0.26,1425,17,4.34,1.0,1.0,148.5,148.5,34.22
4006,51148,muebles,"consolas, recibidores y tocadores",2018-04-22,200,0.32,596,2,0.63,0.0,0.0,0.0,0.0,0.0
4007,51148,muebles,"consolas, recibidores y tocadores",2018-03-03,200,0.2,1246,14,2.8,0.0,1.0,0.0,0.0,0.0
4008,51148,muebles,"consolas, recibidores y tocadores",2018-08-30,200,0.12,524,5,0.58,0.0,0.0,0.0,0.0,0.0
4009,51148,muebles,"consolas, recibidores y tocadores",2018-05-31,200,0.22,1480,11,2.46,0.0,0.0,0.0,0.0,0.0
4010,51148,muebles,"consolas, recibidores y tocadores",2018-03-27,200,0.17,215,1,0.17,0.0,1.0,0.0,0.0,0.0
4011,51148,muebles,"consolas, recibidores y tocadores",2018-05-27,200,0.25,1887,18,4.55,1.0,2.0,127.62,127.62,28.05
4012,51148,muebles,"consolas, recibidores y tocadores",2018-04-26,200,0.22,518,4,0.88,0.0,0.0,0.0,0.0,0.0
4013,51148,muebles,"consolas, recibidores y tocadores",2018-08-04,200,0.19,258,3,0.56,0.0,0.0,0.0,0.0,0.0
4014,51148,muebles,"consolas, recibidores y tocadores",2018-05-02,200,0.18,683,4,0.71,1.0,2.0,178.2,178.2,250.99
4015,51148,muebles,"consolas, recibidores y tocadores",2018-07-20,200,0.13,99,1,0.13,0.0,0.0,0.0,0.0,0.0
4016,51148,muebles,"consolas, recibidores y tocadores",2018-04-24,200,0.31,229,1,0.31,0.0,0.0,0.0,0.0,0.0
4017,51148,muebles,"consolas, recibidores y tocadores",2018-02-26,200,0.15,818,10,1.47,0.0,0.0,0.0,0.0,0.0
4018,51148,muebles,"consolas, recibidores y tocadores",2018-06-30,200,0.07,208,3,0.2,0.0,0.0,0.0,0.0,0.0
4019,51148,muebles,"consolas, recibidores y tocadores",2018-05-24,200,0.24,617,5,1.2,0.0,0.0,0.0,0.0,0.0
4020,51148,muebles,"consolas, recibidores y tocadores",2018-08-01,200,0.17,310,1,0.17,0.0,0.0,0.0,0.0,0.0
4021,51148,muebles,"consolas, recibidores y tocadores",2018-06-12,200,0.23,1036,15,3.38,0.0,0.0,0.0,0.0,0.0
4022,51148,muebles,"consolas, recibidores y tocadores",2018-03-17,200,0.2,609,6,1.22,0.0,0.0,0.0,0.0,0.0
